401 Q0 LA030690-0168   1 14.347982 z22shaikAND
401 Q0 LA050690-0109   2 14.108302 z22shaikAND
401 Q0 LA041290-0088   3 13.511342 z22shaikAND
401 Q0 LA040989-0072   4 13.450258 z22shaikAND
401 Q0 LA110690-0075   5 12.406157 z22shaikAND
401 Q0 LA050789-0068   6 12.279036 z22shaikAND
401 Q0 LA100890-0131   7 12.245212 z22shaikAND
401 Q0 LA021490-0049   8 12.200745 z22shaikAND
401 Q0 LA031590-0102   9 12.099178 z22shaikAND
401 Q0 LA050790-0042  10 12.080469 z22shaikAND
401 Q0 LA071890-0073  11 11.793221 z22shaikAND
401 Q0 LA070989-0066  12 11.678557 z22shaikAND
401 Q0 LA040590-0157  13 11.671977 z22shaikAND
401 Q0 LA111089-0188  14 11.660312 z22shaikAND
401 Q0 LA021890-0100  15 11.562148 z22shaikAND
401 Q0 LA021190-0168  16 11.499225 z22shaikAND
401 Q0 LA060890-0011  17 11.475088 z22shaikAND
401 Q0 LA050990-0043  18 11.453573 z22shaikAND
401 Q0 LA030990-0189  19 11.446432 z22shaikAND
401 Q0 LA102390-0068  20 11.420331 z22shaikAND
401 Q0 LA061290-0074  21 11.404551 z22shaikAND
401 Q0 LA062789-0019  22 11.350827 z22shaikAND
401 Q0 LA112990-0229  23 11.342310 z22shaikAND
401 Q0 LA072590-0049  24 11.313442 z22shaikAND
401 Q0 LA091490-0080  25 11.278064 z22shaikAND
401 Q0 LA031490-0158  26 11.261039 z22shaikAND
401 Q0 LA062290-0172  27 11.220585 z22shaikAND
401 Q0 LA072790-0172  28 11.204898 z22shaikAND
401 Q0 LA100289-0097  29 11.159924 z22shaikAND
401 Q0 LA051190-0084  30 11.137197 z22shaikAND
401 Q0 LA050390-0176  31 11.129005 z22shaikAND
401 Q0 LA100490-0081  32 11.123814 z22shaikAND
401 Q0 LA021590-0209  33 11.107207 z22shaikAND
401 Q0 LA043090-0043  34 11.101800 z22shaikAND
401 Q0 LA031389-0076  35 11.100865 z22shaikAND
401 Q0 LA082389-0142  36 11.079216 z22shaikAND
401 Q0 LA060489-0038  37 11.064536 z22shaikAND
401 Q0 LA010489-0026  38 11.055160 z22shaikAND
401 Q0 LA021490-0144  39 11.031458 z22shaikAND
401 Q0 LA021590-0208  40 10.986011 z22shaikAND
401 Q0 LA022790-0091  41 10.979687 z22shaikAND
401 Q0 LA122190-0057  42 10.951959 z22shaikAND
401 Q0 LA050889-0081  43 10.950335 z22shaikAND
401 Q0 LA121589-0087  44 10.907230 z22shaikAND
401 Q0 LA022290-0221  45 10.900064 z22shaikAND
401 Q0 LA120489-0110  46 10.889113 z22shaikAND
401 Q0 LA030990-0070  47 10.878803 z22shaikAND
401 Q0 LA040689-0200  48 10.867443 z22shaikAND
401 Q0 LA121789-0230  49 10.842625 z22shaikAND
401 Q0 LA110990-0013  50 10.840307 z22shaikAND
401 Q0 LA100189-0189  51 10.831753 z22shaikAND
401 Q0 LA042490-0209  52 10.827460 z22shaikAND
401 Q0 LA020690-0078  53 10.824144 z22shaikAND
401 Q0 LA011289-0071  54 10.801685 z22shaikAND
401 Q0 LA111089-0142  55 10.799492 z22shaikAND
401 Q0 LA120689-0034  56 10.795918 z22shaikAND
401 Q0 LA101790-0075  57 10.782730 z22shaikAND
401 Q0 LA011990-0099  58 10.780513 z22shaikAND
401 Q0 LA030790-0048  59 10.772376 z22shaikAND
401 Q0 LA090790-0044  60 10.761338 z22shaikAND
401 Q0 LA100190-0033  61 10.752395 z22shaikAND
401 Q0 LA083090-0247  62 10.732439 z22shaikAND
401 Q0 LA100890-0076  63 10.731993 z22shaikAND
401 Q0 LA071790-0033  64 10.725743 z22shaikAND
401 Q0 LA071790-0027  65 10.702493 z22shaikAND
401 Q0 LA061089-0056  66 10.698479 z22shaikAND
401 Q0 LA100390-0081  67 10.683439 z22shaikAND
401 Q0 LA091289-0149  68 10.668816 z22shaikAND
401 Q0 LA101990-0026  69 10.666314 z22shaikAND
401 Q0 LA041190-0147  70 10.652391 z22shaikAND
401 Q0 LA050490-0055  71 10.629756 z22shaikAND
401 Q0 LA060289-0098  72 10.579118 z22shaikAND
401 Q0 LA100390-0082  73 10.574799 z22shaikAND
401 Q0 LA070989-0055  74 10.568885 z22shaikAND
401 Q0 LA090890-0047  75 10.563286 z22shaikAND
401 Q0 LA020790-0156  76 10.527986 z22shaikAND
401 Q0 LA071290-0209  77 10.519324 z22shaikAND
401 Q0 LA060189-0101  78 10.516053 z22shaikAND
401 Q0 LA041090-0071  79 10.512716 z22shaikAND
401 Q0 LA062490-0168  80 10.509502 z22shaikAND
401 Q0 LA040789-0170  81 10.502430 z22shaikAND
401 Q0 LA090690-0101  82 10.489875 z22shaikAND
401 Q0 LA051489-0049  83 10.489495 z22shaikAND
401 Q0 LA050289-0096  84 10.473654 z22shaikAND
401 Q0 LA080889-0006  85 10.465520 z22shaikAND
401 Q0 LA070390-0070  86 10.456336 z22shaikAND
401 Q0 LA093090-0177  87 10.427859 z22shaikAND
401 Q0 LA020789-0091  88 10.427402 z22shaikAND
401 Q0 LA042789-0207  89 10.419770 z22shaikAND
401 Q0 LA082789-0152  90 10.407791 z22shaikAND
401 Q0 LA111190-0193  91 10.405917 z22shaikAND
401 Q0 LA110889-0053  92 10.404184 z22shaikAND
401 Q0 LA100290-0174  93 10.381748 z22shaikAND
401 Q0 LA021990-0037  94 10.353783 z22shaikAND
401 Q0 LA083189-0215  95 10.352146 z22shaikAND
401 Q0 LA120389-0087  96 10.329286 z22shaikAND
401 Q0 LA061990-0090  97 10.327780 z22shaikAND
401 Q0 LA081290-0159  98 10.326388 z22shaikAND
